376,-103.361,61.045,0.058
377,-102.926,60.830,0.057
378,-102.492,60.614,0.055
379,-102.058,60.399,0.054
380,-101.623,60.184,0.049
381,-101.189,59.969,0.044
382,-100.754,59.755,0.041
383,-100.319,59.540,0.038
384,-99.884,59.326,0.034
385,-99.450,59.111,0.031
386,-99.015,58.897,0.028
387,-98.579,58.683,0.024
388,-98.144,58.470,0.021
389,-97.709,58.256,0.018
390,-97.274,58.042,0.017
391,-96.839,57.829,0.014
392,-96.403,57.616,0.010
393,-95.968,57.402,0.007
394,-95.532,57.189,0.005
395,-95.097,56.976,0.004
396,-94.661,56.763,0.004
397,-94.226,56.551,0.004
398,-93.790,56.338,0.003
399,-93.355,56.125,0.000
400,-92.919,55.913,-0.004
401,-92.483,55.700,-0.007
402,-92.047,55.488,-0.010
403,-91.611,55.276,-0.014
404,-91.176,55.063,-0.017
405,-90.740,54.851,-0.020
406,-90.304,54.639,-0.024
407,-89.868,54.427,-0.029
408,-89.432,54.215,-0.031
409,-88.996,54.002,-0.033
410,-88.560,53.790,-0.037
411,-88.124,53.578,-0.039
412,-87.688,53.366,-0.041
413,-87.252,53.154,-0.044
414,-86.816,52.942,-0.048
415,-86.380,52.730,-0.051
416,-85.944,52.518,-0.055
417,-85.508,52.306,-0.057
418,-85.072,52.094,-0.058
419,-84.636,51.882,-0.058
420,-84.200,51.670,-0.058
421,-83.764,51.458,-0.058
422,-83.328,51.246,-0.058
423,-82.892,51.034,-0.058
424,-82.457,50.822,-0.058
425,-82.021,50.609,-0.059
426,-81.585,50.396,-0.058
427,-81.150,50.184,-0.054
428,-80.714,49.971,-0.049
429,-80.279,49.758,-0.040
430,-79.843,49.544,-0.028
431,-79.408,49.331,-0.017
432,-78.973,49.117,-0.008
433,-78.538,48.903,-0.001
434,-78.103,48.688,0.002
435,-77.669,48.474,0.001
436,-77.234,48.259,-0.002
437,-76.800,48.043,-0.006
438,-76.366,47.827,-0.009
439,-75.932,47.611,-0.012
440,-75.498,47.395,-0.016
441,-75.064,47.178,-0.019
442,-74.631,46.960,-0.023
443,-74.198,46.743,-0.029
444,-73.765,46.524,-0.038
445,-73.332,46.305,-0.048
446,-72.900,46.086,-0.061
447,-72.468,45.866,-0.076
448,-72.036,45.646,-0.091
449,-71.605,45.425,-0.103
450,-71.173,45.204,-0.112
451,-70.743,44.981,-0.118
452,-70.312,44.759,-0.120
453,-69.882,44.535,-0.122
454,-69.452,44.311,-0.123
455,-69.022,44.087,-0.125
456,-68.593,43.861,-0.129
457,-68.164,43.635,-0.131
458,-67.735,43.409,-0.133
459,-67.307,43.182,-0.135
460,-66.879,42.955,-0.136
461,-66.451,42.727,-0.138
462,-66.023,42.500,-0.140
463,-65.595,42.272,-0.141
464,-65.167,42.044,-0.143
465,-64.738,41.817,-0.145
466,-64.310,41.589,-0.146
467,-63.882,41.362,-0.148
