"31/01/2018,","17:15:02.032626,"
"31/01/2018,","17:15:02.032685,"
"31/01/2018,","17:15:02.032735,"
"31/01/2018,","17:15:02.032798,"
"31/01/2018,","17:15:02.032867,"
"31/01/2018,","17:15:02.032923,"
"31/01/2018,","17:15:02.032975,"
"31/01/2018,","17:15:02.033046,"
"31/01/2018,","17:15:02.033138,"
"31/01/2018,","17:15:02.033195,"
"31/01/2018,","17:15:02.033255,"
"31/01/2018,","17:15:02.033303,"
"31/01/2018,","17:15:02.033374,"
"31/01/2018,","17:15:02.033424,"
"31/01/2018,","17:15:02.033486,"
"31/01/2018,","17:15:02.033570,"
"31/01/2018,","17:15:02.033620,"
"31/01/2018,","17:15:02.033670,"
"31/01/2018,","17:15:02.033745,"
"31/01/2018,","17:15:02.033829,"
"31/01/2018,","17:15:02.033879,"
"31/01/2018,","17:15:02.033944,"
"31/01/2018,","17:15:02.034025,"
"31/01/2018,","17:15:02.034076,"
"31/01/2018,","17:15:02.034143,"
"31/01/2018,","17:15:02.034216,"
"31/01/2018,","17:15:02.034279,"
"31/01/2018,","17:15:02.034330,"
"31/01/2018,","17:15:02.034395,"
"31/01/2018,","17:15:02.034477,"
"31/01/2018,","17:15:02.034526,"
"31/01/2018,","17:15:02.034593,"
"31/01/2018,","17:15:02.034672,"
"31/01/2018,","17:15:02.034735,"
"31/01/2018,","17:15:02.034788,"
"31/01/2018,","17:15:02.034855,"
"31/01/2018,","17:15:02.034937,"
"31/01/2018,","17:15:02.034995,"
"31/01/2018,","17:15:02.035061,"
"31/01/2018,","17:15:02.035140,"
"31/01/2018,","17:15:02.035191,"
"31/01/2018,","17:15:02.035243,"
"31/01/2018,","17:15:02.035337,"
"31/01/2018,","17:15:02.035400,"
"31/01/2018,","17:15:02.035451,"
"31/01/2018,","17:15:02.035513,"
"31/01/2018,","17:15:02.035616,"
"31/01/2018,","17:15:02.035666,"
"31/01/2018,","17:15:02.035736,"
"31/01/2018,","17:15:02.035791,"
"31/01/2018,","17:15:02.035910,"
"31/01/2018,","17:15:02.036078,"
"31/01/2018,","17:15:02.036156,"
"31/01/2018,","17:15:02.036225,"
"31/01/2018,","17:15:02.036318,"
